Year,Team,Score
2000,South Korea-1,3
2000,South Korea-2,1
2000,Spain,26
2000,Sri Lanka,2
2000,Sweden,33
2000,Switzerland,19
2000,Thailand,7
2000,Trinidad and Tobago,3
2000,Turkey,17
2000,Ukraine,45
2000,United States,254
2000,United States-1,5
2000,Uruguay,2
2000,Uzbekistan,9
2000,Vietnam,2
2004,Argentina,14
2004,Australia,134
2004,Austria,19
2004,Azerbaijan,9
2004,Bahamas,6
2004,Belarus,26
2004,Belgium,7
2004,Brazil,25
2004,Brazil-1,7
2004,Bulgaria,21
2004,Cameroon,5
2004,Canada,30
2004,Chile,11
2004,China,182
2004,China-1,20
2004,China-2,6
2004,Chinese Taipei,15
2004,Colombia,2
2004,Croatia,11
2004,Cuba,70
2004,Czech Republic,15
2004,Czech Republic-1,1
2004,Denmark,16
2004,Denmark-2,1
2004,Dominican Republic,5
2004,Egypt,10
2004,Eritrea,1
2004,Estonia,4
2004,Ethiopia,18
2004,Finland,4
2004,France,86
2004,Georgia,14
2004,Germany,115
2004,Germany-1,2
2004,Great Britain,73
2004,Great Britain-1,2
2004,Greece,46
2004,Hong Kong-2,2
2004,Hungary,55
2004,India,2
2004,Indonesia,8
2004,Indonesia-1,1
2004,Iran,16
2004,Israel,6
2004,Italy,83
2004,Jamaica,14
2004,Japan,110
2004,Kazakhstan,16
2004,Kenya,15
2004,Latvia,8
2004,Lithuania,9
2004,Mexico,7
2004,Mongolia,1
2004,Morocco,12
2004,Netherlands,47
2004,New Zealand,19
2004,Nigeria,2
2004,North Korea,9
2004,Norway,26
2004,Paraguay,2
2004,Poland,24
2004,Portugal,5
2004,Romania,56
2004,Russia,228
2004,Serbia and Montenegro,4
2004,Slovakia,16
2004,Slovenia,5
2004,South Africa,13
2004,South Korea,70
2004,South Korea-1,3
2004,South Korea-2,5
2004,Spain,41
2004,Spain-2,2
2004,Sweden,25
2004,Switzerland,9
2004,Switzerland-2,1
2004,Syria,1
2004,Thailand,21
2004,Trinidad and Tobago,1
2004,Turkey,26
2004,Ukraine,59
2004,United Arab Emirates,5
2004,United States,278
2004,United States-1,5
2004,United States-2,1
2004,Uzbekistan,14
2004,Venezuela,2
2004,Zimbabwe,8
2008,Afghanistan,1
2008,Algeria,3
2008,Argentina,14
2008,Armenia,6
2008,Australia,117
2008,Austria,4
2008,Azerbaijan,13
2008,Bahamas,3
2008,Belarus,39
2008,Belgium,7
2008,Bonaparte,5
2008,Brazil,29
2008,Brazil-1,2
2008,Brazil-2,1
2008,Bulgaria,10
2008,Cameroon,5
2008,Canada,40
2008,Chile,2
2008,China,312
2008,China-1,11
2008,China-2,2
2008,Chinese Taipei,4
2008,Clearwater,1
2008,Colombia,3
2008,Croatia,7
2008,Cuba,43
2008,Czech Republic,21
2008,Denmark,16
2008,Digby,1
2008,Dominican Republic,7
2008,Don Schufro,1
2008,Ecuador,2
2008,Egypt,1
2008,Elvis Va,5
2008,Estonia,7
2008,Ethiopia,24
2008,Finland,9
2008,France,85
2008,Georgia,18
2008,Germany,110
2008,Great Britain,137
2008,Greece,6
2008,Hungary,27
2008,Iceland,2
2008,India,7
2008,Indonesia,3
2008,Indonesia-1,7
2008,Iran,6
2008,Ireland,4
2008,Israel,1
2008,Italy,68
2008,Jamaica,31
2008,Japan,68
2008,Kazakhstan,25
2008,Kenya,43
2008,Kyrgyzstan,3
2008,Latvia,8
2008,Lithuania,7
2008,Malaysia,2
2008,Mauritius,1
2008,Mexico,11
2008,Moldova,1
2008,Mongolia,14
2008,Morocco,3
2008,Nadine,2
2008,Netherlands,47
2008,New Zealand,23
2008,Nigeria,5
2008,North Korea,15
2008,Norway,26
2008,Panama,5
2008,Poland,28
2008,Portugal,7
2008,Romania,25
2008,Russia,185
2008,Salinero,2
2008,Satchmo,5
2008,Serbia,4
2008,Singapore,2
2008,Slovakia,20
2008,Slovenia,11
2008,South Africa,2
2008,South Korea,85
2008,South Korea-1,8
2008,Spain,46
2008,Spain-1,2
2008,Sudan,2
2008,Sunrise,2
2008,Sweden,7
2008,Sweden-2,2
2008,Switzerland,16
2008,Tajikistan,3
2008,Thailand,14
2008,Togo,1
2008,Trinidad and Tobago,7
2008,Tunisia,5
2008,Turkey,14
2008,Ukraine,60
2008,United States,277
2008,United States-1,11
2008,United States-2,5
2008,Uzbekistan,12
2008,Venezuela,1
2008,Vietnam,2
2008,Zimbabwe,11
2012,Afghanistan,1
2012,Algeria,5
2012,Argentina,9
2012,Armenia,4
2012,Australia,79
2012,Azerbaijan,20
2012,Bahamas,5
2012,Bahrain,1
2012,Belarus,25
2012,Belgium,4
2012,Botswana,2
2012,Brazil,31
2012,Brazil-1,3
2012,Bulgaria,3
2012,Canada,27
2012,China,250
2012,China-1,15
2012,China-2,2
2012,Chinese Taipei,3
2012,Colombia,15
2012,Croatia,19
2012,Cuba,37
2012,Cyprus,2
2012,Czech Republic,27
2012,Czech Republic-1,2
2012,Denmark,20
2012,Denmark-1,1
2012,Dominican Republic,7
2012,Egypt,4
2012,Estonia,3
2012,Ethiopia,20
2012,Finland,4
2012,France,87
2012,France-1,2
2012,France-2,1
2012,Gabon,2
2012,Georgia,14
2012,Germany,102
2012,Germany-1,5
2012,Great Britain,191
2012,Great Britain-1,5
2012,Great Britain-2,2
2012,Greece,2
2012,Grenada,5
2012,Guatemala,2
2012,Hong Kong,1
2012,Hungary,54
2012,India,8
2012,Indonesia,3
2012,Iran,33
2012,Ireland,10
2012,Italy,69
2012,Jamaica,32
2012,Japan,78
2012,Japan-1,2
2012,Kazakhstan,42
2012,Kenya,23
2012,Kuwait,1
2012,Latvia,5
2012,Latvia-1,1
2012,Lithuania,14
2012,Malaysia,3
2012,Mexico,14
2012,Moldova,2
2012,Mongolia,7
2012,Montenegro,2
2012,Morocco,1
2012,Netherlands,50
2012,New Zealand,39
2012,North Korea,22
2012,Norway,13
2012,Poland,20
2012,Portugal,2
2012,Puerto Rico,3
2012,Qatar,2
2012,Romania,22
2012,Russia,203
2012,Russia-1,1
2012,Saudi Arabia,1
2012,Serbia,9
2012,Singapore,2
2012,Slovakia,5
2012,Slovenia,9
2012,South Africa,20
2012,South Korea,87
2012,South Korea-1,1
2012,Spain,39
2012,Sweden,16
2012,Switzerland,14
2012,Tajikistan,1
2012,Thailand,5
2012,Trinidad and Tobago,9
2012,Tunisia,8
2012,Turkey,15
2012,Uganda,5
2012,Ukraine,49
2012,United States,297
2012,United States-1,16
2012,United States-2,2
2012,Uzbekistan,7
2012,Venezuela,5
2016,Algeria,4
2016,Argentina,17
2016,Armenia,11
2016,Australia,72
2016,Austria,1
2016,Azerbaijan,29
2016,Bahamas,6
2016,Bahrain,7
2016,Belarus,17
2016,Belgium,16
2016,Brazil,46
2016,Brazil-1,7
2016,Bulgaria,4
2016,Burundi,2
2016,Canada,41
2016,China,186
2016,China-1,6
2016,Chinese Taipei,7
2016,Colombia,22
2016,Cote d'Ivoire,6
2016,Croatia,33
2016,Cuba,33
2016,Czech Republic,15
2016,Czech Republic-1,1
2016,Denmark,29
2016,Dominican Republic,1
2016,Egypt,3
2016,Estonia,1
2016,Ethiopia,14
2016,Fiji,5
2016,Finland,1
2016,France,100
2016,Georgia,16
2016,Germany,115
2016,Germany-1,5
2016,Great Britain,198
2016,Greece,19
2016,Grenada,2
2016,Hungary,50
2016,India,3
2016,Individual Olympic Athletes,6
2016,Indonesia,4
2016,Indonesia-1,5
2016,Iran,21
2016,Ireland,4
2016,Israel,2
2016,Italy,70
2016,Italy-1,2
2016,Jamaica,38
2016,Japan,97
2016,Jordan,5
2016,Kazakhstan,35
2016,Kenya,43
2016,Kosovo,5
2016,Lithuania,5
2016,Malaysia,9
2016,Mexico,8
2016,Mongolia,3
2016,Morocco,1
2016,Netherlands,57
2016,Netherlands-1,1
2016,New Zealand,43
2016,Niger,2
2016,Nigeria,1
2016,North Korea,18
2016,Norway,4
2016,Philippines,2
2016,Poland,22
2016,Portugal,1
2016,Puerto Rico,5
2016,Qatar,2
2016,Romania,9
2016,Russia,144
2016,Russia-2,5
2016,Serbia,20
2016,Singapore,5
2016,Slovakia,14
2016,Slovenia,10
2016,South Africa,24
2016,South Korea,59
2016,South Korea-1,1
2016,Spain,44
2016,Spain-2,5
2016,Sweden,25
2016,Switzerland,21
2016,Tajikistan,5
2016,Thailand,16
2016,Trinidad and Tobago,1
2016,Tunisia,3
2016,Turkey,15
2016,Ukraine,24
2016,United Arab Emirates,1
2016,United States,333
2016,United States-1,3
2016,United States-2,6
2016,Uzbekistan,31
2016,Venezuela,4
2016,Vietnam,7
2021,Argentina,4
2021,Armenia,6
2021,Australia,121
2021,Austria,12
2021,Azerbaijan,10
2021,Bahamas,10
2021,Bahrain,2
2021,Belarus,14
2021,Belgium,20
2021,Bermuda,5
2021,Brazil,55
2021,Bulgaria,19
2021,Canada,58
2021,Chinese Taipei,24
2021,Colombia,9
2021,Croatia,23
2021,Cuba,46
2021,Czech Republic,31
2021,Denmark,27
2021,Dominican Republic,8
2021,Ecuador,12
2021,Egypt,11
2021,Estonia,6
2021,Ethiopia,9
2021,Fiji,6
2021,Finland,2
2021,France,85
2021,Georgia,21
2021,Germany,88
2021,Great Britain,174
2021,Greece,13
2021,"Hong Kong, China",12
2021,Hungary,51
2021,India,13
2021,Indonesia,10
2021,Ireland,12
2021,Islamic Republic of Iran,21
2021,Israel,12
2021,Italy,90
2021,Jamaica,26
2021,Japan,180
2021,Jordan,3
2021,Kazakhstan,8
2021,Kenya,30
2021,Kosovo,10
2021,Kyrgyzstan,5
2021,Latvia,6
2021,Lithuania,2
2021,Malaysia,3
2021,Mexico,4
2021,Mongolia,5
2021,Morocco,5
2021,Namibia,2
2021,Netherlands,88
2021,New Zealand,54
2021,Nigeria,3
2021,North Macedonia,2
2021,Norway,26
2021,People's Republic of China,272
2021,Philippines,10
2021,Poland,35
2021,Portugal,9
2021,Puerto Rico,5
2021,Qatar,11
2021,ROC,179
2021,Republic of Korea,48
2021,Romania,11
2021,San Marino,4
2021,Saudi Arabia,2
2021,Serbia,22
2021,Slovakia,10
2021,Slovenia,18
2021,South Africa,9
2021,Spain,37
2021,Sweden,27
2021,Switzerland,29
2021,Thailand,6
2021,Tunisia,7
2021,Turkey,23
2021,Turkmenistan,2
2021,Uganda,13
2021,Ukraine,29
2021,United States,310
2021,Uzbekistan,17
2021,Venezuela,11
2024,AIN,12
2024,Albania,2
2024,Algeria,11
2024,Argentina,8
2024,Armenia,7
2024,Australia,144
2024,Austria,13
2024,Azerbaijan,17
2024,Bahrain,13
2024,Belgium,23
2024,Botswana,7
2024,Brazil,39
2024,Bulgaria,20
2024,Cabo Verde,1
2024,Canada,70
2024,Chile,7
2024,China,278
2024,Chinese Taipei,15
2024,Colombia,7
2024,Croatia,17
2024,Cuba,18
2024,Cyprus,2
2024,Czechia,17
2024,Côte d'Ivoire,1
2024,DPR Korea,8
2024,Denmark,19
2024,Dominica,5
2024,Dominican Republic,7
2024,EOR,1
2024,Ecuador,11
2024,Egypt,8
2024,Ethiopia,11
2024,Fiji,2
2024,France,154
2024,Georgia,22
2024,Germany,94
2024,Great Britain,143
2024,Greece,13
2024,Grenada,2
2024,Guatemala,6
2024,"Hong Kong, China",12
2024,Hungary,50
2024,IR Iran,30
2024,India,7
2024,Indonesia,11
2024,Ireland,23
2024,Israel,16
2024,Italy,101
2024,Jamaica,13
2024,Japan,137
2024,Jordan,2
2024,Kazakhstan,14
2024,Kenya,29
2024,Korea,93
2024,Kosovo,3
2024,Kyrgyzstan,8
2024,Lithuania,6
2024,Malaysia,2
2024,Mexico,8
2024,Mongolia,2
2024,Morocco,6
2024,Netherlands,101
2024,New Zealand,67
2024,Norway,25
2024,Pakistan,5
2024,Panama,2
2024,Peru,1
2024,Philippines,12
2024,Poland,18
2024,Portugal,10
2024,Puerto Rico,2
2024,Qatar,1
2024,Republic of Moldova,5
2024,Romania,25
2024,Saint Lucia,7
2024,Serbia,18
2024,Singapore,1
2024,Slovakia,1
2024,Slovenia,12
2024,South Africa,13
2024,Spain,42
2024,Sweden,31
2024,Switzerland,14
2024,Tajikistan,3
2024,Thailand,13
2024,Tunisia,8
2024,Türkiye,11
2024,Uganda,7
2024,Ukraine,29
2024,United States,330
2024,Uzbekistan,47
2024,Zambia,1
